,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,nm,x,y
12355,한국전력,도담마을푸르지오,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전동 푸른솔로 41,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 죽전동,127.113932721957,37.3311110877474
12526,한국전력,동문3차아파트,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 858,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 동천동 858,127.093635347002,37.3382044182741
12527,한국전력,동문3차아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 858,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 동천동 858,127.093635347002,37.3382044182741
12530,한국전력,동문6차굿모닝힐아파트,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로 53,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 동천동,127.099224030122,37.3418610192632
12531,한국전력,동문6차굿모닝힐아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로 53,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 동천동,127.099224030122,37.3418610192632
12541,한국전력,동백금호어울림타운하우스,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중동 동백4로 53,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 중동 865,127.15359514564,37.2720637357455
12542,한국전력,동백금호어울림타운하우스,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중동 동백4로 27,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 중동 865,127.15359514564,37.2720637357455
12544,한국전력,동백하우스토리,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중동 동백5로 62,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 중동 869,127.156632195994,37.2751494219535
12545,한국전력,동백하우스토리,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중동 동백5로 62,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 중동 869,127.156632195994,37.2751494219535
12554,한국전력,동부도서관,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 명지로 27,24시간 이용가능,,,,경기 용인시 처인구 역북동 504-1,127.190402367131,37.2334815902661
12555,한국전력,동부동주민센터,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 중부대로 1574,24시간 이용가능,,,,경기 용인시 처인구 마평동 533-8,127.219174040535,37.2327702908298
12557,한국전력,동부센트레빌5차,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 신봉동 신봉1로 214,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 신봉동 949,127.06676377125783,37.33094887880452
12558,한국전력,동부센트레빌5차,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉동 신봉1로 214,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 신봉동 949,127.06676377125783,37.33094887880452
12559,한국전력,동부센트레빌5차,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉동 신봉1로 214,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 신봉동 949,127.06676377125783,37.33094887880452
12593,한국전력,동아솔레시티 아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 보정동 보정로 30,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 보정동,127.113094904481,37.3201877760019
12594,한국전력,동아솔레시티 아파트,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 보정동 보정로 30,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 보정동,127.113094904481,37.3201877760019
12595,한국전력,동아솔레시티 아파트,05,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 보정동 보정로 30,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 보정동,127.113094904481,37.3201877760019
12632,한국전력,동일하이빌2차아파트,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 언남동 언남로 15,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 언남동,127.128966698627,37.2939658405683
12633,한국전력,동일하이빌2차아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언남동 언남로 15,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 언남동,127.128966698627,37.2939658405683
12634,한국전력,동일하이빌2차아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언남동 언남로 15,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 언남동,127.128966698627,37.2939658405683
12635,한국전력,동일하이빌2차아파트,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언남동 언남로 15,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 언남동,127.128966698627,37.2939658405683
12653,한국전력,동천마을 현대2차홈타운,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로63번길 10,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 동천동 63,127.085842141852,37.3506765247577
12654,한국전력,동천마을 현대2차홈타운,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로63번길 10,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 동천동 63,127.085842141852,37.3506765247577
12655,한국전력,동천마을 현대2차홈타운,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로63번길 10,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 동천동 63,127.085842141852,37.3506765247577
12656,한국전력,동천마을 현대2차홈타운,04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로63번길 10,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 동천동 63,127.085842141852,37.3506765247577
12839,한국전력,래미안 수지 이스트파크,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 풍덕천동 신수로683번길 19,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 풍덕천동 683,127.101482244623,37.3314103912376
12840,한국전력,래미안 수지 이스트파크,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 풍덕천동 신수로683번길 19,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 풍덕천동 683,127.101482244623,37.3314103912376
12841,한국전력,래미안 수지 이스트파크,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 풍덕천동 신수로683번길 19,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 풍덕천동 683,127.101482244623,37.3314103912376
12842,한국전력,래미안 수지 이스트파크,04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 풍덕천동 신수로683번길 19,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 풍덕천동 683,127.101482244623,37.3314103912376
12898,한국전력,래미안이스트팰리스3단지 아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로135번길 21,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 동천동 135,127.091420018286,37.3442244010341
13097,한국전력,마평라이프아파트,01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 마평동 605-1,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 처인구 마평동 605-1,127.214202935994,37.2319947561132
13171,한국전력,만현마을 롯데캐슬아파트,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 상현동 만현로 25,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
13172,한국전력,만현마을 롯데캐슬아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 만현로 25,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
13173,한국전력,만현마을 롯데캐슬아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 만현로 25,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
13294,한국전력,모현농협 하나로마트,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 백옥대로 2373,24시간 이용가능,,,,경기 용인시 처인구 모현읍 왕산리 815-2,127.248819071256,37.335571557253
13295,한국전력,모현농협 하나로마트,02,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 백옥대로 2373,24시간 이용가능,,,,경기 용인시 처인구 모현읍 왕산리 815-2,127.248819071256,37.335571557253
13296,한국전력,모현다목적복지회관,01,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 문현로 195(일산리 554-13),09:00~18:00,,50kW,,경기 용인시 처인구 모현읍 일산리 554-13,127.231320619326,37.3424944369811
13298,한국전력,모현읍행정복지센터,01,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 독점로 31-6(309 모현읍행정복지센터),09:00~18:00,,50kW,,경기 용인시 처인구 모현읍 갈담리 309,127.242361901324,37.3295330155457
13723,한국전력,백현마을한라비발디2단지,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 동백동 동백7로 96,,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 동백동 7,127.17324793626,37.2817426899373
13732,한국전력,버들치경남1차,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 157,24시간,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 성복동 753,127.06274043236,37.3159379794128
13733,한국전력,버들치경남1차,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 157,24시간,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 성복동 753,127.06274043236,37.3159379794128
13734,한국전력,버들치경남1차,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 157,24시간,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 성복동 753,127.06274043236,37.3159379794128
13735,한국전력,버들치경남1차,04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 157,24시간,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 성복동 753,127.06274043236,37.3159379794128
13888,한국전력,보정한화꿈에그린아파트,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 보정동 구교동로 17,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 보정동,127.113094904481,37.3201877760019
14351,한국전력,삼라마이다스빌,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남동 명지로 307,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 처인구 남동,127.20174058203,37.2208797975323
14352,한국전력,삼라마이다스빌,02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 남동 명지로 307,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 처인구 남동,127.20174058203,37.2208797975323
14589,한국전력,상현2동 행정복지센터,01,DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 만현로 48(1199 상현2동행정복지센터),24시간 이용가능,,50kW,,경기 용인시 수지구 상현동 1199,127.086529403345,37.3103604398306
14590,한국전력,상현2동 행정복지센터,02,DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 만현로 48(1199 상현2동행정복지센터),24시간 이용가능,,50kW,,경기 용인시 수지구 상현동 1199,127.086529403345,37.3103604398306
14591,한국전력,상현도서관,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 법조로 232,24시간 이용가능,,,,경기 용인시 수지구 상현동 1129-2,127.074289086797,37.2999600824908
14592,한국전력,상현마을성원상떼빌3차,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 상현동 상현로 30-10,,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
14593,한국전력,상현엘지자이아파트,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 869,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 상현동 869,127.090598530851,37.3042729738201
14594,한국전력,상현엘지자이아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 869,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 상현동 869,127.090598530851,37.3042729738201
14595,한국전력,상현엘지자이아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 869,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 수지구 상현동 869,127.090598530851,37.3042729738201
